S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
1.,Reliance Industr,1467.00,28.53,1985213.21,0.34,22611.00,2.41,261388.00,10.51,9.43
2.,HDFC Bank,1979.55,21.41,1517901.84,1.11,19284.57,6.88,86779.34,9.25,7.51
3.,TCS,3447.75,25.75,1247426.08,1.74,12293.00,-1.69,64479.00,5.29,64.63
4.,Bharti Airtel,1967.85,42.62,1180343.35,0.83,12475.80,185.61,47876.20,27.33,15.36
5.,ICICI Bank,1425.20,19.88,1016883.97,0.70,14353.69,15.69,48386.92,13.57,7.88
6.,St Bk of India,799.60,9.22,713612.63,1.99,20379.46,-8.34,126997.00,8.11,6.47
7.,Infosys,1614.90,25.33,670863.96,2.70,7038.00,-11.75,40925.00,7.92,37.50
8.,Life Insurance,950.15,12.48,600969.60,1.27,19038.67,37.55,243134.49,1.85,53.48
9.,Bajaj Finance,929.00,34.75,577307.13,0.48,4545.57,17.13,18456.85,23.65,11.29
10.,Hind. Unilever,2278.00,51.42,535236.88,1.89,2475.00,2.61,15670.00,3.02,27.85
11.,ITC,416.45,26.28,521150.50,3.45,19807.88,3.97,18765.00,10.14,36.98
12.,Larsen & Toubro,3616.00,32.72,497330.01,0.93,6155.82,19.34,74392.28,10.90,14.49
13.,HCL Technologies,1717.00,26.81,465936.28,3.17,4309.00,8.10,30246.00,6.13,31.88
14.,Kotak Mah. Bank,2199.15,22.74,437251.83,0.09,4932.76,-7.58,16771.93,10.66,7.64
15.,Maruti Suzuki,12775.00,27.78,401649.24,0.99,3911.10,-1.04,40920.10,6.37,21.76
16.,Sun Pharma.Inds.,1670.00,34.92,400689.01,0.95,2153.93,-13.13,12958.84,8.14,20.19
17.,M & M,3212.15,30.93,399440.10,0.80,3541.85,19.65,42599.31,20.16,14.07
18.,Axis Bank,1213.00,13.42,376160.71,0.08,7509.10,-1.63,32452.32,7.35,7.11
19.,UltraTech Cem.,11734.40,56.55,345788.26,0.59,2474.79,7.44,23063.32,12.95,10.93
20.,Titan Company,3651.60,97.11,324184.02,0.31,871.00,12.97,14916.00,19.39,22.17
21.,Bajaj Finserv,2011.00,36.20,321320.27,0.05,4756.32,14.07,36595.36,14.21,10.96
22.,Hind.Aeronautics,4794.70,38.35,320657.54,0.73,3976.63,-7.71,13699.85,-7.24,33.87
23.,NTPC,330.25,13.73,320232.31,2.33,7897.14,23.38,49833.70,4.63,10.76
24.,O N G C,241.90,8.41,304317.02,5.01,8856.33,-34.02,170811.73,-0.77,12.42
25.,Adani Ports,1393.00,27.99,300907.27,0.50,3023.10,29.88,8488.44,23.08,13.80
,Median: 501 Co.,894.55,42.03,31622.25,0.45,211.0,14.87,2060.64,10.6,15.99
26.,Bharat Electron,406.00,55.81,296777.07,0.53,2127.02,18.39,9149.59,6.84,38.99
27.,Adani Enterp.,2524.80,66.41,291407.59,0.05,4014.90,88.79,26965.86,-7.59,9.45
28.,Wipro,269.40,21.50,282377.07,2.25,3588.10,25.93,22504.20,1.33,19.51
29.,Avenue Super.,4282.90,103.01,278702.45,0.00,550.79,-2.19,14871.86,16.86,18.02
30.,Power Grid Corpn,290.50,17.36,270182.55,3.91,4142.87,-0.56,12275.35,2.48,12.89
31.,JSW Steel,1024.45,65.78,250524.51,0.27,1501.00,17.42,44819.00,-3.13,8.03
32.,Eternal Ltd,258.65,473.53,249606.36,0.00,39.00,-77.71,5833.00,63.76,3.18
33.,Tata Motors,674.25,8.89,248222.67,0.89,8556.00,-49.58,119503.00,0.39,19.97
34.,Coal India,391.65,6.85,241363.29,6.46,9592.53,12.45,37824.54,-1.02,48.04
35.,Bajaj Auto,8390.00,31.99,234297.16,2.52,1801.85,-10.42,12646.32,9.45,28.14
36.,Nestle India,2406.00,75.00,231976.19,1.13,885.41,-4.45,5503.88,4.49,95.66
37.,Asian Paints,2278.45,55.74,218548.39,1.09,700.83,-35.15,8358.91,-4.26,25.72
38.,Interglobe Aviat,5646.45,30.11,218241.09,0.00,3073.40,62.28,22152.00,24.27,19.56
39.,Trent,6132.40,151.85,217999.14,0.08,311.60,18.57,4216.94,27.88,30.71
40.,Adani Power,556.25,16.75,214542.18,0.00,2599.23,-5.04,14237.40,6.54,22.54
41.,DLF,854.85,46.18,211602.02,0.59,1282.20,39.40,3127.58,46.50,6.51
42.,I O C L,142.05,16.57,200592.23,8.53,8367.63,57.76,195270.29,-1.70,7.37
43.,Tata Steel,156.50,58.84,195367.25,2.34,1200.88,90.93,56218.11,-4.21,8.83
44.,Jio Financial,303.40,119.54,192758.59,0.00,316.11,1.76,493.24,17.97,1.47
45.,Grasim Inds,2830.95,50.93,192649.08,0.36,2973.26,-3.01,44267.26,17.34,7.60
46.,Hindustan Zinc,442.15,18.08,186822.48,6.57,2976.00,45.74,9041.00,19.75,60.81
47.,SBI Life Insuran,1845.30,76.62,184963.89,0.15,813.51,0.33,23070.95,-36.37,16.88
48.,I R F C,139.50,28.04,182305.63,1.13,1681.87,-2.06,6723.23,3.83,5.83
49.,Divi's Lab.,6583.00,79.75,174758.03,0.46,662.00,23.05,2585.00,12.24,20.44
50.,Hyundai Motor I,2128.90,31.49,172981.80,0.00,1582.56,-4.05,17561.95,2.51,54.22
,Median: 501 Co.,894.55,42.03,31622.25,0.45,211.0,14.87,2060.64,10.6,15.99
51.,Hyundai Motor I,2126.00,31.45,172746.16,0.00,1582.56,-4.05,17561.95,2.51,54.22
52.,HDFC Life Insur.,785.50,93.44,169251.22,0.27,475.36,15.48,24190.65,-13.73,7.43
53.,Tech Mahindra,1704.35,39.28,166880.48,2.62,1141.90,72.75,13384.00,3.98,20.08
54.,LTIMindtree,5430.00,34.97,160917.80,1.21,1128.60,2.60,9771.70,9.88,27.63
55.,Adani Green,980.00,95.52,159014.52,0.00,383.00,75.71,3073.00,21.61,8.70
56.,Varun Beverages,460.30,55.93,155669.62,0.22,731.36,35.22,5566.94,28.94,24.85
57.,Solar Industries,16978.55,126.94,153639.06,0.06,346.11,37.09,2166.55,34.51,36.82
58.,Eicher Motors,5575.75,32.27,152916.19,0.92,1362.15,27.25,5241.11,23.15,29.77
59.,Pidilite Inds.,3004.55,72.97,152826.03,0.54,427.52,25.89,3141.14,8.25,29.86
60.,Bajaj Holdings,13675.00,23.35,152189.12,0.68,1750.79,-36.47,145.26,-88.01,9.94
61.,Hindalco Inds.,673.15,9.19,151272.07,0.51,5284.00,66.30,64890.00,15.89,15.21
62.,Macrotech Devel.,1458.00,52.68,145501.04,0.15,922.80,38.50,4224.30,5.12,15.62
63.,B P C L,319.95,10.20,138810.48,6.54,4391.83,-8.12,111230.21,-4.57,16.25
64.,TVS Motor Co.,2916.05,62.75,138537.78,0.35,697.51,68.86,11542.00,16.09,19.43
65.,Ambuja Cements,559.05,33.27,137700.84,0.37,1282.24,-3.56,9888.61,11.18,10.50
66.,Britannia Inds.,5706.05,62.57,137440.60,1.30,559.13,4.20,4432.19,8.92,53.01
67.,Power Fin.Corpn.,413.20,5.91,136360.28,3.78,8357.88,12.31,29265.03,21.22,9.73
68.,Cholaman.Inv.&Fn,1611.10,31.76,135509.87,0.13,1259.54,18.24,7045.57,30.23,10.34
69.,Mazagon Dock,3192.80,53.41,128791.17,0.44,325.29,-50.93,3174.41,2.28,43.17
70.,Tata Power Co.,402.70,34.44,128676.23,0.57,1306.09,18.16,17095.88,7.88,10.81
71.,Shriram Finance,675.75,15.29,127076.59,1.45,2143.77,10.69,11454.23,20.78,10.97
